code,name_en,name_fr,description_en,description_fr
618,Debt forgiveness: Other,Annulation/conversion de la dette : autre,Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
620,Debt rescheduling: ODA claims (P),Rééchelonnement de la dette : créance APD (P),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
621,Debt rescheduling: ODA claims (I),Rééchelonnement de la dette : créance APD (I),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
622,Debt rescheduling: OOF claims (P),Rééchelonnement de la dette : créance AASP (P),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
623,Debt rescheduling: OOF claims (I),Rééchelonnement de la dette : créance AASP (I),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
624,Debt rescheduling:  Private claims (P),Rééchelonnement de la dette : créance du secteur privé (P),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
625,Debt rescheduling:  Private claims (I),Rééchelonnement de la dette : créance du secteur privé (I),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
626,Debt rescheduling: OOF claims (DSR),Rééchelonnement de la dette : créance AASP (RSD),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
627,Debt rescheduling:  Private claims (DSR),Rééchelonnement de la dette : créance du secteur privé (RSD),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
630,Debt rescheduling: OOF claim (DSR – original loan principal),Rééchelonnement de la dette : créance AASP (RSD – principal du prêt d’origine),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
631,Debt rescheduling: OOF claim (DSR – original loan interest),Rééchelonnement de la dette : créance AASP (RSD – intérêts du prêt d’origine),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
632,Debt rescheduling: Private claim (DSR – original loan principal),Rééchelonnement de la dette : créance du secteur privé (RSD – principal du prêt d’origine),Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
710,Foreign direct investment,Investissement direct international,Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
711,"Other foreign direct investment, including reinvested earnings","Autre investissement direct international , y compris les bénéfices réinvestis",Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
810,Bank bonds,Obligations du secteur bancaire,Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
811,Non-bank  bonds,Obligations du secteur non bancaire,Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
910,Other bank securities/claims,Autres titres/créances du secteur bancaire,Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
911,Other non-bank securities/claims,Autres titres/créances du secteur non bancaire,Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
912,Securities and other instruments issued by multilateral agencies,Titres et autres instruments émis par les agences multilatérales,Official sector expenditures for the sustenance of refugees in donor countries during the first twelve months of their stay.,
